Item_Id,Retailer_Id,Walmart_Url,Comp_Url,Match_Type,Match_Type_Comments,Notes,Super_Department,Department,Product_Type
"""116564186""","""B0BR74PXLX""",https://www.walmart.com/ip/116564186?selected=true,https://www.amazon.com/dp/B0BR74PXLX?psc=1&th=1&vs=1,Not Sure,Info not sufficient in competitor page,Model,Clothing,Kids Clothing,Baby Clothes
"""9193576""","""B07N8HZWQ9""",https://www.walmart.com/ip/9193576?selected=true,https://www.amazon.com/dp/B07N8HZWQ9?psc=1&th=1&vs=1,Incorrect Match,((bra stripes Model)_is different in Both)_is different in Both,Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""9193576""","""B09HCMDLYX""",https://www.walmart.com/ip/9193576?selected=true,https://www.amazon.com/dp/B09HCMDLYX?psc=1&th=1&vs=1,Incorrect Match,In WM_(designed bra) & in Comp_(plain bra),Design and Color,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""9193577""","""B0F6CVW314""",https://www.walmart.com/ip/9193577?selected=true,https://www.amazon.com/dp/B0F6CVW314?psc=1&th=1&vs=1,Incorrect Match,In WM_(lace model) & in Comp_(lace strap model),Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""9193577""","""B09HCLZMHR""",https://www.walmart.com/ip/9193577?selected=true,https://www.amazon.com/dp/B09HCLZMHR?psc=1&th=1&vs=1,Incorrect Match,Others_(In WM_(Light Lined Push-Up Bra) & in Comp_(Full Coverage Padded)),Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""9193620""","""B0F6CVFK57""",https://www.walmart.com/ip/9193620?selected=true,https://www.amazon.com/dp/B0F6CVFK57?psc=1&th=1&vs=1,Incorrect Match,In WM_(cnter bow) & in Comp_(plain),Model,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""56081383""","""B0913Z3R7H""",https://www.walmart.com/ip/56081383?selected=true,https://www.amazon.com/dp/B0913Z3R7H?psc=1&th=1&vs=1,Incorrect Match,Product attributes are same except Brand,Brand,Clothing,Womens Clothing,"Womens Bras, Panties & Lingerie"
"""116564186""","""B0BG66SN5J""",https://www.walmart.com/ip/116564186?selected=true,https://www.amazon.com/dp/B0BG66SN5J?psc=1&th=1&vs=1,Incorrect Match,Others_(In comp(color strips) & in wm(White plain)),Design,Clothing,Kids Clothing,Baby Clothes
"""126156759""","""B0DNJTL5XG""",https://www.walmart.com/ip/126156759?selected=true,https://www.amazon.com/dp/B0DNJTL5XG?psc=1&th=1&vs=1,Incorrect Match,In WM_(Graphic) & in Comp_(Tiger),Design,Clothing,Kids Clothing,Baby Clothes
"""126156759""","""B0F9NMJRZM""",https://www.walmart.com/ip/126156759?selected=true,https://www.amazon.com/dp/B0F9NMJRZM?psc=1&th=1&vs=1,Incorrect Match,(Bodysuit model is different in both)_is different in Both,Design and Color|Model,Clothing,Kids Clothing,Baby Clothes
